run_date,title,year,tmdb_id,service,tmdb_says,streaming_availability_says,resolution,letterboxd_url
2026-08-08,Inception,2010,27205,YouTube Free,available,unavailable,dropped_tmdb_claim,https://boxd.it/1skk
2026-08-08,Inception,2010,27205,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/1skk
2026-08-08,Nope,2022,762504,Netflix,available,unavailable,dropped_tmdb_claim,https://boxd.it/sDCe
2026-08-08,Requiem for a Dream,2000,641,Hoopla,available,unavailable,dropped_tmdb_claim,https://boxd.it/29VI
2026-08-08,Requiem for a Dream,2000,641,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/29VI
2026-08-08,Catch Me If You Can,2002,640,Hoopla,available,unavailable,dropped_tmdb_claim,https://boxd.it/29VS
2026-08-08,Catch Me If You Can,2002,640,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/29VS
2026-08-08,Moonlight,2016,376867,YouTube Free,available,unavailable,dropped_tmdb_claim,https://boxd.it/d6bE
2026-08-08,Nightcrawler,2014,242582,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/780m
2026-08-08,There Will Be Blood,2007,7345,Hoopla,available,unavailable,dropped_tmdb_claim,https://boxd.it/20Z2
2026-08-08,"Paris, Texas",1984,655,Tubi,available,unavailable,dropped_tmdb_claim,https://boxd.it/29Ts
2026-08-08,"Paris, Texas",1984,655,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/29Ts
2026-08-08,The Usual Suspects,1995,629,Hoopla,available,unavailable,dropped_tmdb_claim,https://boxd.it/29XE
2026-08-08,Lady Bird,2017,391713,Hoopla,available,unavailable,dropped_tmdb_claim,https://boxd.it/dGNE
2026-08-08,Lady Bird,2017,391713,YouTube Free,available,unavailable,dropped_tmdb_claim,https://boxd.it/dGNE
2026-08-08,Lady Bird,2017,391713,Tubi,available,unavailable,dropped_tmdb_claim,https://boxd.it/dGNE
2026-08-08,Lady Bird,2017,391713,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/dGNE
2026-08-08,Titanic,1997,597,Hoopla,available,unavailable,dropped_tmdb_claim,https://boxd.it/2a2k
2026-08-08,Titanic,1997,597,YouTube Free,available,unavailable,dropped_tmdb_claim,https://boxd.it/2a2k
2026-08-08,Titanic,1997,597,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/2a2k
2026-08-08,Titanic,1997,597,Tubi,unavailable,available,logged_only_tmdb_miss,https://boxd.it/2a2k
2026-08-08,Donnie Darko,2001,141,YouTube Free,available,unavailable,dropped_tmdb_claim,https://boxd.it/2b2A
2026-08-08,Little Miss Sunshine,2006,773,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/29EW
2026-08-08,Scream,1996,4232,Hoopla,available,unavailable,dropped_tmdb_claim,https://boxd.it/24EC
2026-08-08,Scream,1996,4232,Amazon Prime Video,unavailable,available,logged_only_tmdb_miss,https://boxd.it/24EC
2026-08-08,Scarface,1983,111,Amazon Prime Video,available,unavailable,dropped_tmdb_claim,https://boxd.it/2b7g
2026-08-08,The Thing,1982,1091,YouTube Free,available,unavailable,dropped_tmdb_claim,https://boxd.it/294O
2026-08-08,Fargo,1996,275,Tubi,available,unavailable,dropped_tmdb_claim,https://boxd.it/2aHM
