Date,Name,Year,Letterboxd URI
8/8/2025,Pulp Fiction,1994,https://boxd.it/29Pq
8/8/2025,Midsommar,2019,https://boxd.it/jhxe
8/8/2025,Inception,2010,https://boxd.it/1skk
8/8/2025,Spirited Away,2001,https://boxd.it/2b4m
8/8/2025,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
8/8/2025,Dead Poets Society,1989,https://boxd.it/2aSg
8/8/2025,Se7en,1995,https://boxd.it/29zs
8/8/2025,Forrest Gump,1994,https://boxd.it/728
8/8/2025,Kill Bill: Vol. 1,2003,https://boxd.it/70w
8/8/2025,The Godfather,1972,https://boxd.it/2aNK
8/8/2025,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
8/8/2025,Django Unchained,2012,https://boxd.it/2cCk
8/8/2025,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
8/8/2025,Hereditary,2018,https://boxd.it/hNVe
8/8/2025,The Matrix,1999,https://boxd.it/2a1m
8/8/2025,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
8/8/2025,Mickey 17,2025,https://boxd.it/q1Dk
8/8/2025,Blade Runner 2049,2017,https://boxd.it/b8wK
8/8/2025,Nope,2022,https://boxd.it/sDCe
8/8/2025,GoodFellas,1990,https://boxd.it/29FA
8/8/2025,Us,2019,https://boxd.it/gnV6
8/8/2025,Mad Max: Fury Road,2015,https://boxd.it/2DjO
8/8/2025,Prisoners,2013,https://boxd.it/4E5i
8/8/2025,Anatomy of a Fall,2023,https://boxd.it/yuDE
8/8/2025,The Lighthouse,2019,https://boxd.it/icFU
8/8/2025,Requiem for a Dream,2000,https://boxd.it/29VI
8/8/2025,2001: A Space Odyssey,1968,https://boxd.it/2bf0
8/8/2025,Catch Me If You Can,2002,https://boxd.it/29VS
8/8/2025,Gladiator,2000,https://boxd.it/2b9m
8/8/2025,1917,2019,https://boxd.it/jj4y
8/8/2025,Moonlight,2016,https://boxd.it/d6bE
8/8/2025,Oldboy,2003,https://boxd.it/29R2
8/8/2025,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
8/8/2025,Nightcrawler,2014,https://boxd.it/780m
8/8/2025,Mulholland Drive,2001,https://boxd.it/297o
8/8/2025,A Clockwork Orange,1971,https://boxd.it/2aVE
8/8/2025,Killers of the Flower Moon,2023,https://boxd.it/gHp0
8/8/2025,Schindler's List,1993,https://boxd.it/2aq2
8/8/2025,Blade Runner,1982,https://boxd.it/2bcA
8/8/2025,Asteroid City,2023,https://boxd.it/s3ds
8/8/2025,There Will Be Blood,2007,https://boxd.it/20Z2
8/8/2025,Marriage Story,2019,https://boxd.it/hJAw
8/8/2025,A Complete Unknown,2024,https://boxd.it/oBYa
8/8/2025,The Pianist,2002,https://boxd.it/2aqc
8/8/2025,Saving Private Ryan,1998,https://boxd.it/29ro
8/8/2025,28 Days Later,2002,https://boxd.it/2aXU
8/8/2025,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
8/8/2025,F1,2025,https://boxd.it/yjVM
8/8/2025,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk
8/8/2025,Vertigo,1958,https://boxd.it/2apI
8/8/2025,BlacKkKlansman,2018,https://boxd.it/hxL8
8/8/2025,"Paris, Texas",1984,https://boxd.it/29Ts
8/8/2025,The Usual Suspects,1995,https://boxd.it/29XE
8/8/2025,Sicario,2015,https://boxd.it/8i7u
8/29/2025,The Devil Wears Prada,2006,https://boxd.it/2awE
9/1/2025,Happyend,2024,https://boxd.it/rnUa
9/1/2025,Waves,2019,https://boxd.it/jpmy
9/1/2025,Suspiria,2018,https://boxd.it/cioI
9/1/2025,La Haine,1995,https://boxd.it/2as8
9/1/2025,Take Shelter,2011,https://boxd.it/DQ
12/4/2025,Frankenstein,2025,https://boxd.it/Ecsg
12/4/2025,Hamnet,2025,https://boxd.it/woVy
12/4/2025,Weapons,2025,https://boxd.it/EMTM
12/4/2025,Die My Love,2025,https://boxd.it/D5cI
1/21/2026,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
1/21/2026,10 Things I Hate About You,1999,https://boxd.it/23AO
1/21/2026,Black Swan,2010,https://boxd.it/Sw0
1/21/2026,The Shining,1980,https://boxd.it/29Nu
1/21/2026,Lady Bird,2017,https://boxd.it/dGNE
1/21/2026,Gone Girl,2014,https://boxd.it/6hQu
1/21/2026,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
1/21/2026,Baby Driver,2017,https://boxd.it/bhF2
1/21/2026,Titanic,1997,https://boxd.it/2a2k
1/21/2026,Donnie Darko,2001,https://boxd.it/2b2A
1/21/2026,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
1/21/2026,Little Miss Sunshine,2006,https://boxd.it/29EW
1/21/2026,Pride & Prejudice,2005,https://boxd.it/24u8
1/21/2026,Conclave,2024,https://boxd.it/AO8q
1/21/2026,Jojo Rabbit,2019,https://boxd.it/iEBG
1/21/2026,Scream,1996,https://boxd.it/24EC
1/21/2026,The Holdovers,2023,https://boxd.it/vHza
1/21/2026,Bullet Train,2022,https://boxd.it/qW26
1/21/2026,Alien,1979,https://boxd.it/2awY
1/21/2026,Lost in Translation,2003,https://boxd.it/2b0E
1/21/2026,AmÃ©lie,2001,https://boxd.it/2aUc
1/21/2026,Psycho,1960,https://boxd.it/2ab2
1/21/2026,Eyes Wide Shut,1999,https://boxd.it/2axs
1/21/2026,Scarface,1983,https://boxd.it/2b7g
1/21/2026,Reservoir Dogs,1992,https://boxd.it/2agc
1/21/2026,The Thing,1982,https://boxd.it/294O
1/21/2026,Fargo,1996,https://boxd.it/2aHM
1/21/2026,In the Mood for Love,2000,https://boxd.it/29tE
1/21/2026,The Martian,2015,https://boxd.it/8SeG
1/21/2026,Trainspotting,1996,https://boxd.it/29XY
1/21/2026,City of God,2002,https://boxd.it/2a2a
1/21/2026,Don't Worry Darling,2022,https://boxd.it/mViu
1/21/2026,Manchester by the Sea,2016,https://boxd.it/b2L0
1/21/2026,The Green Mile,1999,https://boxd.it/2agG
1/21/2026,Midnight in Paris,2011,https://boxd.it/i4a
1/21/2026,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
1/21/2026,Citizen Kane,1941,https://boxd.it/71O
1/21/2026,Phantom Thread,2017,https://boxd.it/e4uc
1/21/2026,Magnolia,1999,https://boxd.it/2aze
1/21/2026,TÁR,2022,https://boxd.it/uNIA
1/21/2026,Come and See,1985,https://boxd.it/1w9q
1/21/2026,Children of Men,2006,https://boxd.it/1Y2i
1/21/2026,Casino,1995,https://boxd.it/2ads
1/21/2026,Singin' in the Rain,1952,https://boxd.it/29oY
1/21/2026,Incendies,2010,https://boxd.it/Msm
1/21/2026,Cinema Paradiso,1988,https://boxd.it/1UlA
1/21/2026,Sentimental Value,2025,https://boxd.it/GwcG
1/21/2026,Moneyball,2011,https://boxd.it/glS
1/21/2026,Raging Bull,1980,https://boxd.it/28yI
1/21/2026,Minari,2020,https://boxd.it/mL9M
1/21/2026,Do the Right Thing,1989,https://boxd.it/29gA
1/21/2026,The Talented Mr. Ripley,1999,https://boxd.it/2924
1/21/2026,Amadeus,1984,https://boxd.it/2aH8
1/21/2026,Barry Lyndon,1975,https://boxd.it/25A2
1/21/2026,Enemy,2013,https://boxd.it/5xtO
1/21/2026,Jackie Brown,1997,https://boxd.it/2aVO
1/21/2026,Tropic Thunder,2008,https://boxd.it/20WM
1/23/2026,Good Time,2017,https://boxd.it/fcFu
1/31/2026,Punch-Drunk Love,2002,https://boxd.it/20E4
1/31/2026,Eddington,2025,https://boxd.it/o6MC
1/31/2026,Monkey Man,2024,https://boxd.it/kvsO
1/31/2026,The Notebook,2004,https://boxd.it/1UNE
1/31/2026,The Fall Guy,2024,https://boxd.it/s0Bm
1/31/2026,First Man,2018,https://boxd.it/cPym
1/31/2026,The Machinist,2004,https://boxd.it/248c
1/31/2026,Vice,2018,https://boxd.it/fcFY
6/9/2026,Sunshine,2007,https://boxd.it/28Xy
6/9/2026,The Place Beyond the Pines,2012,https://boxd.it/3mDu
6/10/2026,Annihilation,2018,https://boxd.it/9yzm
7/12/2026,Don't Look Up,2021,https://boxd.it/o0Hc
8/9/2026,The Substance,2024,https://boxd.it/zanS
8/9/2026,Joker,2019,https://boxd.it/h4cS
8/9/2026,The Drama,2026,https://boxd.it/OA2w
8/9/2026,Superbad,2007,https://boxd.it/20hO
8/9/2026,Michael,2026,https://boxd.it/zi5M
8/9/2026,The Worst Person in the World,2021,https://boxd.it/oyws
